"Chlorophyll a, total",Divinyl chlorophyll a,Chlorophyll b,19-Hexanoyloxyfucoxanthin,19-Butanoyloxyfucoxanthin,Fucoxanthin,Peridinin,Alloxanthin,Zeaxanthin
-0.7298007915413572,-2.900331188790738,-2.830133092904425,-2.465045200692445,-4.1348541055603105,-3.5402870500641095,-4.074247860522978,-4.9611310991931665,-1.6712867207611675
0.22154627634946672,-12.206072645530174,-1.2837197224161914,-1.3943063717300683,-2.7967994509548397,-1.102605249938089,-2.748794073674064,-2.2442690161712098,-3.244065435941861
0.4167379963398692,-12.206072645530174,-1.5798548386424522,-1.4524127963313502,-2.733291088968005,-0.45254885403769723,-2.8823143065184342,-1.5750123314191133,-3.506391244540661
1.212834919524794,-12.206072645530174,-12.206072645530174,-1.9877378574696227,-3.352264370552976,0.7212510413922216,-2.465045200692445,-12.206072645530174,-3.03645010683255
0.28141623301597124,-12.206072645530174,-1.6502338656267672,-1.2447774378857825,-2.9373690302570763,-1.0906292381772722,-1.8838418639400385,-3.4418631383881704,-1.7486712445482846
0.021766384137451217,-12.206072645530174,-1.6982418041095946,-1.5945246697018045,-3.1464388909786942,-0.48450019859844207,-2.3859123555837995,-3.963053176540925,-1.5994628294120221
-3.1940612684937624,-4.42243204930892,-12.206072645530174,-4.509405564003712,-5.520211698461814,-5.520211698461814,-6.902767737471098,-12.206072645530174,-3.506391244540661
-3.2967022403327073,-4.509405564003712,-6.212111218223605,-4.509405564003712,-5.520211698461814,-5.8074777109949665,-12.206072645530174,-12.206072645530174,-3.6117332449372825
-0.8439584424551558,-2.3227367812048985,-3.015832945260994,-2.6735763132421337,-4.42243204930892,-3.772043695374705,-4.342421380081523,-5.297317866214954,-1.6194629960811888
-1.1894155110801625,-4.765891085851573,-3.3640758028428746,-3.36417544944154,-3.9502454650023675,-2.83833526874627,-4.054910775616733,-4.913016327048094,-5.062977454140601
-2.0368899972936028,-3.531247560748035,-5.12996374203729,-3.930228830292182,-4.550969447315871,-5.949826757439096,-6.098558119196501,-6.709190526735304,-3.3494364916144974
-1.7429640479295845,-4.431027653071504,-4.014831003754084,-3.1667921616543957,-4.01103433103038,-4.10324101859611,-5.640629663170933,-5.516553727838008,-4.467656159588293
-2.8823143065184342,-9.38769098379099,-3.816485578719082,-4.017105781881298,-5.8074777109949665,-3.506391244540661,-6.212111218223605,-6.212111218223605,-6.902767737471098
-2.3968408289197662,-10.319040789396063,-12.206072645530174,-4.509405564003712,-6.212111218223605,-2.8823143065184342,-12.206072645530174,-12.206072645530174,-12.206072645530174
-1.6647728369006323,-3.4457877174701803,-4.145651776285477,-3.405505448068696,-4.739377033538082,-3.5629195351408534,-4.389331746549657,-5.831051032521529,-3.7680411303763166
-0.6843275877600644,-2.0910865212313277,-2.8421300272317556,-2.5867846124458276,-3.629397563837143,-3.222878459985065,-5.177137580164636,-4.035642244448751,-1.5697865434686542
-1.5988382874674893,-2.5720530434701554,-4.331685797609834,-3.583067353036156,-4.9538106491259395,-3.968415644136963,-5.5138778813951115,-6.048543949198852,-3.063819847375132
-1.4848419155711565,-1.9282541039209586,-4.720155893654671,-3.8477049009242865,-4.950230844327672,-4.832722628193907,-6.080154050200283,-6.9123920592520935,-2.557116945509162
-1.698576003823949,-3.6417860200057537,-4.290351908950186,-3.2688016580781665,-4.871882353984019,-4.103362422171425,-12.206072645530174,-5.28362123444937,-2.5189933887753106
-1.2172967079486785,-1.9085417718598068,-4.0875452373106285,-2.9695209147451727,-4.718161707629152,-4.3580456805206085,-5.186883664874634,-12.206072645530174,-2.2012150449721637
-0.9684840890914932,-1.1978735294440566,-3.8669778292663377,-3.6843697867665695,-4.762680285351563,-4.82537492035818,-6.132981386714934,-12.206072645530174,-1.6800019226920093
-0.8655017096104228,-1.0944569348217292,-3.965961303703793,-3.1926334844582533,-4.43929738291722,-4.749078437610265,-12.206072645530174,-12.206072645530174,-1.6597532178403933
