,"Chlorophyll a, total",Divinyl chlorophyll a,Chlorophyll b,19-Hexanoyloxyfucoxanthin,19-Butanoyloxyfucoxanthin,Fucoxanthin,Peridinin,Alloxanthin,Zeaxanthin
0,-0.7298111649315367,-2.900422093749666,-2.8302178350764176,-2.4651040224918206,-4.135166556742356,-3.540459448995663,-4.074541934925921,-4.961845129926823,-1.6713133161521878
1,0.22154226994723591,-9.210340371976182,-1.2837377727947985,-1.3943265328171548,-2.796881414808826,-1.1026203100656484,-2.7488721956224653,-2.24431618487007,-3.2441936328524905
2,0.41673470036639515,-9.210340371976182,-1.579879110192556,-1.4524341636244356,-2.7333680090865,-0.4525567156420149,-2.8824035882469876,-1.575036485716768,-3.506557897319982
3,1.2128334327581325,-9.210340371976182,-9.772459290129724,-1.987774353154012,-3.3524072174927233,0.7212486106708201,-2.4651040224918206,-9.721165995742174,-3.036554268074246
4,0.2814124594381855,-9.210340371976182,-1.6502599069543555,-1.2447947988461912,-2.9374633654300153,-1.0906441190189327,-1.8838747581358606,-3.4420193761824103,-1.7486999797676082
5,0.02176149178151271,-9.210340371976182,-1.6982691261407161,-1.5945492999403497,-3.146555163288575,-0.4845083154486173,-2.385966701933097,-3.9633162998156966,-1.5994875815809322
6,-3.1941832122778293,-4.422848629194137,-9.772459290129724,-4.509860006183766,-5.521460917862246,-5.521460917862246,-6.907755278982137,-9.721165995742174,-3.506557897319982
7,-3.2968373663379125,-4.509860006183766,-6.214608098422191,-4.509860006183766,-5.521460917862246,-5.809142990314028,-10.40436284544895,-9.721165995742174,-3.611918412977808
8,-0.843970070294529,-2.322787800311565,-3.0159349808715104,-2.6736487743848776,-4.422848629194137,-3.7722610630529876,-4.3428059215206005,-5.298317366548036,-1.6194882482876019
9,-1.1894455050453985,-4.766478436888341,-3.364220347135877,-3.3643200081396483,-3.950505239324368,-2.8384207088766287,-4.0551992172935485,-4.913696804344778,-5.063768068764448
10,-2.0369185945999453,-3.531418408171144,-5.130809154247206,-3.9304834558468214,-4.551443180479372,-5.951747034303163,-6.100786677386521,-6.7132984862500935,-3.349578935142289
11,-1.742969305058623,-4.431447829901539,-4.015108111794296,-3.1669108248753797,-4.011310388831791,-4.10354374525744,-5.642038855621333,-5.517798383138356,-4.468092015622532
